RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
43,BAS,"HOWARD, MARKUS",P011948,34,786.56,212.0,7.56,80.2
44,ASV,"LAUVERGNE, JOFFREY",P004194,31,759.56,208.45,7.56,80.2
45,ZAL,"BIRUTIS, LAURYNAS",P005504,34,513.95,171.2,7.55,80.2
46,PAN,"GRANT, JERIAN",P011204,34,976.45,234.45,7.5,80.1
47,BAS,"MILLER-MCINTYRE, CODI",P009048,34,986.19,233.15,7.42,80.0
48,BAR,"SATORANSKY, TOMAS",P002939,34,861.6899999999999,216.4,7.37,79.9
49,BAR,"LAPROVITTOLA, NICOLAS",P006435,28,634.13,185.95,7.38,79.9
50,IST,"CLYBURN, WILL",P004888,24,679.02,188.3,7.23,79.7
51,RED,"TEODOSIC, MILOS",PJDR,27,569.71,170.5,7.14,79.6
52,TEL,"RIVERO, JASIEL",P011214,34,526.81,164.01,7.15,79.6
53,PAM,"DAVIES, BRANDON",P007870,28,626.04,177.15,7.08,79.5
54,MCO,"MOTIEJUNAS, DONATAS",PLCZ,34,575.38,170.3,7.1,79.5
55,ASV,"DE COLO, NANDO",P002100,21,459.44,150.2,7.01,79.4
56,PAR,"NUNNALLY, JAMES",P007400,32,888.1899999999999,208.34,6.99,79.3
57,OLY,"WALKUP, THOMAS",P008855,33,887.83,207.45,6.96,79.3
58,PAR,"PUNTER, KEVIN",P009862,28,815.53,194.54,6.81,79.1
59,IST,"BRYANT, ELIJAH",P009846,23,495.08,151.85,6.82,79.1
60,BER,"KOUMADJE, KHALIFA",P010791,28,464.38,147.61,6.85,79.1
61,RED,"GIEDRAITIS, ROKAS",P006436,34,864.3100000000001,198.15,6.74,79.0
62,ULK,"CALATHES, NICK",P001932,31,691.42,177.4,6.75,79.0
