GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
28,VNC,P009400,0 days 00:26:35,-12,38,50
28,VNC,P011928,0 days 00:24:04,-5,38,43
28,VNC,P008052,0 days 00:23:06,-33,35,68
28,VNC,P005177,0 days 00:23:03,-19,41,60
28,VNC,P006571,0 days 00:08:10,-18,10,28
28,BOU,P010449,0 days 00:24:18,9,52,43
28,BOU,P013265,0 days 00:23:58,5,47,42
28,BOU,P004525,0 days 00:22:01,8,48,40
28,BOU,P009552,0 days 00:19:50,12,46,34
28,BOU,P013264,0 days 00:18:47,13,43,30
28,BOU,P013266,0 days 00:18:33,-2,34,36
28,BOU,P010450,0 days 00:17:43,20,44,24
28,BOU,P011837,0 days 00:17:41,8,36,28
28,BOU,P006904,0 days 00:15:42,13,36,23
28,BOU,P009556,0 days 00:14:16,14,34,20
28,BOU,P004945,0 days 00:07:11,10,20,10
29,TTK,P009025,0 days 00:35:17,10,71,61
29,TTK,P011973,0 days 00:34:21,13,69,56
29,TTK,P011935,0 days 00:31:31,3,61,58
29,TTK,P006598,0 days 00:29:49,7,59,52
29,TTK,P013300,0 days 00:24:32,3,48,45
29,TTK,P004056,0 days 00:12:27,5,27,22
29,TTK,P012415,0 days 00:11:42,5,16,11
29,TTK,P012259,0 days 00:08:42,0,20,20
29,TTK,P007917,0 days 00:07:44,-2,11,13
29,TTK,P004619,0 days 00:03:15,-3,7,10
29,TTK,P010811,0 days 00:00:40,-1,1,2
29,LJU,P003703,0 days 00:30:33,-13,50,63
29,LJU,P012042,0 days 00:26:50,-8,45,53
29,LJU,P003452,0 days 00:23:32,-17,40,57
29,LJU,P012700,0 days 00:22:10,-3,38,41
29,LJU,P013260,0 days 00:20:26,2,39,37
29,LJU,P012996,0 days 00:15:31,-5,26,31
29,LJU,P011261,0 days 00:13:31,5,26,21
29,LJU,P009753,0 days 00:12:52,-9,19,28
29,LJU,P009431,0 days 00:12:11,0,23,23
29,LJU,P013263,0 days 00:11:15,5,23,18
29,LJU,P009392,0 days 00:11:09,3,21,18
30,LKB,PLXI,0 days 00:27:37,-8,58,66
30,LKB,P009299,0 days 00:26:47,-11,47,58
30,LKB,P005656,0 days 00:24:04,-12,39,51
30,LKB,P010461,0 days 00:23:47,-15,43,58
30,LKB,P005521,0 days 00:23:32,-7,46,53
30,LKB,P013247,0 days 00:20:12,-8,36,44
30,LKB,P006586,0 days 00:19:50,-20,32,52
30,LKB,P009898,0 days 00:19:48,-10,38,48
30,LKB,P006212,0 days 00:14:23,1,31,30
30,ARI,P003240,0 days 00:26:08,12,60,48
30,ARI,P013251,0 days 00:22:12,13,53,40
30,ARI,P004292,0 days 00:22:03,9,52,43
30,ARI,P013250,0 days 00:21:07,13,49,36
30,ARI,P008084,0 days 00:20:43,7,38,31
30,ARI,P013356,0 days 00:19:17,11,54,43
30,ARI,P013355,0 days 00:19:01,10,49,39
30,ARI,P013249,0 days 00:16:43,3,37,34
30,ARI,P013248,0 days 00:13:08,-2,18,20
30,ARI,P013375,0 days 00:10:50,4,25,21
30,ARI,P013252,0 days 00:07:51,10,25,15
30,ARI,P013360,0 days 00:00:57,0,0,0
